Fine tune,Fine tune common adapter,Fine tune section adapter,Fine tune triplet adapter,Further fine tuned,Merging,CoT,k shot,Fusion Strategy,Explicit Evidence,Model,Retriever,Control_F1,Control_Rec,Control_Prec,Contrast_F1,Contrast_Rec,Contrast_Prec,Faithfulness,Consistency,para_Consistency,cont_Faithfulness,cont_Consistency,numerical_para_Consistency,numerical_cont_Faithfulness,numerical_cont_Consistency,definitions_Consistency,para_F1,para_Rec,para_Prec,cont_F1,cont_Rec,cont_Prec,numerical_para_F1,numerical_para_Rec,numerical_para_Prec,numerical_cont_F1,numerical_cont_Rec,numerical_cont_Prec,definitions_F1,definitions_Rec,definitions_Prec
,,,,,,yes,2,Early,no,LLaMA2-7B-Chat,BM25,0.560714286,0.506451613,0.628,0.432839124,0.334016393,0.614707731,0.462962963,0.492504836,0.502,0.457333333,0.429333333,0.46875,0.5,0.524691358,0.514666667,0.561876833,0.501570681,0.638666667,0,0,0,0.441314554,0.385245902,0.516483516,0,0,0,0.553921569,0.512471655,0.602666667
,,,,,,yes,2,Early,yes,LLaMA2-7B-Chat,BM25,0.539449541,0.498305085,0.588,0.430816914,0.332535885,0.611565053,0.444444444,0.494439072,0.510666667,0.437333333,0.434666667,0.450892857,0.49122807,0.481481481,0.516,0.563614744,0.508583691,0.632,0,0,0,0.388059701,0.354545455,0.428571429,0,0,0,0.558930741,0.513392857,0.613333333
,,,,,,no,2,Early,yes,LLaMA2-13B-Chat,BM25,0.60472973,0.523391813,0.716,0.490093004,0.361251863,0.761785041,0.434027778,0.508462282,0.536,0.438666667,0.429333333,0.504464286,0.403508772,0.49382716,0.522666667,0.613333333,0.525714286,0.736,0,0,0,0.554216867,0.436708861,0.758241758,0,0,0,0.622760801,0.514808362,0.788
,,,,,,no,2,Early,no,LLaMA2-13B-Chat,Random,0.62295082,0.527777778,0.76,0.492505353,0.356739989,0.795097423,0.407407407,0.493471954,0.536,0.408,0.389333333,0.491071429,0.403508772,0.407407407,0.512666667,0.628601921,0.524021352,0.785333333,0,0,0,0.564885496,0.432748538,0.813186813,0,0,0,0.622222222,0.508016878,0.802666667
,,,,,,no,2,Early,no,LLaMA2-13B-Chat,BM25,0.616915423,0.526912181,0.744,0.487281399,0.356291776,0.770584538,0.40162037,0.501208897,0.536666667,0.412,0.409333333,0.504464286,0.333333333,0.444444444,0.517333333,0.618341571,0.525676937,0.750666667,0,0,0,0.571428571,0.44047619,0.813186813,0,0,0,0.619348055,0.511284722,0.785333333
,,,,,,no,2,Late,no,LLaMA2-7B-Chat,BM25,0.590673575,0.519756839,0.684,0.441657811,0.333654464,0.653048397,0.371527778,0.496131528,0.507333333,0.361333333,0.4,0.59375,0.438596491,0.598765432,0.507333333,0.58645775,0.505303761,0.698666667,0,0,0,0.533333333,0.5,0.571428571,0,0,0,0.556156156,0.506010929,0.617333333
,,,,,,no,2,Late,no,LLaMA2-13B-Chat,BM25,0.632911392,0.523560209,0.8,0.501298701,0.3556199,0.849151477,0.34837963,0.486218569,0.536,0.350666667,0.330666667,0.508928571,0.333333333,0.351851852,0.525333333,0.640495868,0.522765599,0.826666667,0,0,0,0.586466165,0.445714286,0.857142857,0,0,0,0.647175421,0.514984227,0.870666667
,,,,,,no,2,Late,no,Mistral-7b-Instruct,BM25,0.652601969,0.503253796,0.928,0.494814815,0.335191793,0.944688875,0.184027778,0.428433269,0.521333333,0.2,0.168,0.410714286,0.078947368,0.12962963,0.500666667,0.658420552,0.51183432,0.922666667,0,0,0,0.562913907,0.402843602,0.934065934,0,0,0,0.659700136,0.50034459,0.968
,,,,,,no,2,Early,no,LLaMA2-7B-Chat,BM25,0.630792227,0.503579952,0.844,0.470081048,0.323906844,0.856693903,0.170138889,0.430367505,0.501333333,0.174666667,0.182666667,0.482142857,0.140350877,0.179012346,0.502666667,0.632612967,0.500777605,0.858666667,0,0,0,0.573529412,0.430939227,0.857142857,0,0,0,0.632149901,0.501564945,0.854666667
,,,,,,no,2,Early,yes,Mistral-7b-Instruct,BM25,0.673239437,0.519565217,0.956,0.497160474,0.335083115,0.962916405,0.158564815,0.426499033,0.520666667,0.164,0.144,0.4375,0.122807018,0.12345679,0.504666667,0.663547029,0.511175198,0.945333333,0,0,0,0.585526316,0.417840376,0.978021978,0,0,0,0.663952962,0.502395619,0.978666667
,,,,,,no,2,Early,yes,LLaMA2-7B-Chat,BM25,0.640949555,0.509433962,0.864,0.468739324,0.32183908,0.862350723,0.150462963,0.425531915,0.503333333,0.156,0.170666667,0.459821429,0.114035088,0.154320988,0.499333333,0.635340186,0.501933488,0.865333333,0,0,0,0.563176895,0.419354839,0.857142857,0,0,0,0.632043116,0.499612703,0.86
,,,,,,no,2,Early,no,Mistral-7b-Instruct,Random,0.663888889,0.508510638,0.956,0.501127214,0.336869452,0.978001257,0.145833333,0.429400387,0.526666667,0.158666667,0.133333333,0.446428571,0.061403509,0.135802469,0.509333333,0.670380687,0.514245014,0.962666667,0,0,0,0.592105263,0.422535211,0.989010989,0,0,0,0.669064748,0.504748982,0.992
,,,,,,no,2,Early,no,Mistral-7b-Instruct,BM25,0.668531469,0.513978495,0.956,0.494995157,0.333043667,0.96354494,0.134259259,0.424564797,0.526,0.150666667,0.129333333,0.441964286,0.026315789,0.12345679,0.500666667,0.666353824,0.514120203,0.946666667,0,0,0,0.590163934,0.420560748,0.989010989,0,0,0,0.661851016,0.500341297,0.977333333
,,,,,,no,2,Early,no,LLaMA2-7B-Chat,Random,0.638728324,0.5,0.884,0.475543028,0.322972973,0.901319925,0.125,0.41803675,0.496,0.133333333,0.146666667,0.464285714,0.070175439,0.166666667,0.496,0.641366224,0.497790869,0.901333333,0,0,0,0.58041958,0.425641026,0.912087912,0,0,0,0.641025641,0.497787611,0.9
,,,,,,no,2,Late,no,MistralLite-7B,BM25,0.660402685,0.496969697,0.984,0.483252132,0.318866787,0.997485858,0.006944444,0.386847195,0.498666667,0.008,0.005333333,0.419642857,0.0,0.018518519,0.500666667,0.664884135,0.499330656,0.994666667,0,0,0,0.583333333,0.411764706,1.0,0,0,0,0.666963095,0.500333556,1.0
,,,,,,no,4,Late,no,MistralLite-7B,BM25,0.0,0.0,0.0,0.001253918,0.25,0.000628536,1.0,0.614845261,0.499333333,1.0,0.998666667,0.59375,1.0,1.0,0.5,0.002656042,0.333333333,0.001333333,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
,,,,,,no,4,Late coupled,no,MistralLite-7B,BM25,0.148409894,0.636363636,0.084,0.107538218,0.333333333,0.064110622,0.909722222,0.609526112,0.519333333,0.898666667,0.933333333,0.580357143,0.98245614,0.987654321,0.501333333,0.185310734,0.607407407,0.109333333,0,0,0,0.020833333,0.2,0.010989011,0,0,0,0.048346056,0.527777778,0.025333333
,,,,,,no,4,Late coupled,no,LLaMA2-13B-Chat,BM25,0.602409639,0.528700906,0.7,0.475833333,0.355874104,0.717787555,0.438657407,0.508945841,0.531333333,0.44,0.454666667,0.486607143,0.429824561,0.438271605,0.524666667,0.600341103,0.523290387,0.704,0,0,0,0.541832669,0.425,0.747252747,0,0,0,0.60498615,0.517535545,0.728
,,,,,,no,4,Late coupled,no,LLaMA2-7B-Chat,BM25,0.621417798,0.498789346,0.824,0.462969463,0.321158997,0.829038341,0.194444444,0.428433269,0.495333333,0.194666667,0.197333333,0.450892857,0.192982456,0.203703704,0.498,0.62282013,0.497215593,0.833333333,0,0,0,0.539325843,0.409090909,0.791208791,0,0,0,0.622934402,0.498797113,0.829333333
,,,,,,no,4,Late,no,Mistral-7b-Instruct,BM25,0.67025572,0.505070994,0.996,0.490530891,0.32570604,0.993086109,0.059027778,0.403046422,0.51,0.066666667,0.064,0.419642857,0.00877193,0.030864198,0.503333333,0.668470907,0.505112474,0.988,0,0,0,0.583333333,0.411764706,1.0,0,0,0,0.667559125,0.501676727,0.997333333
,,,,,,no,4,Late,no,LLaMA2-7B-Chat,BM25,0.660351827,0.498977505,0.976,0.480665537,0.318367347,0.980515399,0.021990741,0.38926499,0.500666667,0.025333333,0.022666667,0.40625,0.0,0.0,0.500666667,0.662460568,0.500340368,0.98,0,0,0,0.577777778,0.40625,1.0,0,0,0,0.662156067,0.500340832,0.978666667
,,,,,,no,6,Late coupled,no,MistralLite-7B,BM25,0.152777778,0.578947368,0.088,0.136525726,0.360215054,0.084223759,0.907407407,0.609526112,0.525333333,0.898666667,0.928,0.566964286,0.964912281,0.987654321,0.5,0.232758621,0.606741573,0.144,0,0,0,0.03960396,0.2,0.021978022,0,0,0,0.060150376,0.5,0.032
,,,,,,no,6,Late coupled,no,LLaMA2-7B-Chat,BM25,0.62556391,0.501204819,0.832,0.464316722,0.320777351,0.84035198,0.168981481,0.42770793,0.499333333,0.177333333,0.190666667,0.441964286,0.114035088,0.179012346,0.499333333,0.62803368,0.499605989,0.845333333,0,0,0,0.545454545,0.407608696,0.824175824,0,0,0,0.625809666,0.499602228,0.837333333
,,,,,,no,6,Late coupled,no,Mistral-7b-Instruct,BM25,0.66013986,0.507526882,0.944,0.491845632,0.330943068,0.957259585,0.141203704,0.418520309,0.512,0.145333333,0.113333333,0.428571429,0.114035088,0.148148148,0.505333333,0.656660413,0.506512301,0.933333333,0,0,0,0.570469799,0.410628019,0.934065934,0,0,0,0.665464382,0.502724796,0.984
,,,,,,yes,8,Late,no,Mistral-7b-Instruct,BM25,0.650684932,0.568862275,0.76,0.523671927,0.405089409,0.740414833,0.583333333,0.568907157,0.585333333,0.573333333,0.554666667,0.549107143,0.649122807,0.62345679,0.556666667,0.648190045,0.562868369,0.764,0,0,0,0.516746411,0.457627119,0.593406593,0,0,0,0.623655914,0.541789577,0.734666667
,,,,,,yes,8,Late,no,MistralLite-7B,BM25,0.616393443,0.522222222,0.752,0.464029514,0.344282238,0.7115022,0.384259259,0.496373308,0.527333333,0.385333333,0.366666667,0.508928571,0.377192982,0.432098765,0.535333333,0.608503589,0.519321395,0.734666667,0,0,0,0.537815126,0.43537415,0.703296703,0,0,0,0.597342577,0.527013252,0.689333333
,,,,,,no,8,Late coupled,no,Mistral-7b-Instruct,BM25,0.66013986,0.507526882,0.944,0.492457421,0.33187582,0.954116908,0.150462963,0.420938104,0.511333333,0.156,0.118666667,0.441964286,0.114035088,0.179012346,0.504666667,0.654733867,0.506190823,0.926666667,0,0,0,0.576271186,0.416666667,0.934065934,0,0,0,0.665164489,0.502382573,0.984
,,,,,,no,8,Late,no,Mistral-7b-Instruct,BM25,0.662998624,0.50524109,0.964,0.491105464,0.32858661,0.971715902,0.111111111,0.411025145,0.508,0.122666667,0.105333333,0.419642857,0.035087719,0.061728395,0.503333333,0.65896488,0.504243281,0.950666667,0,0,0,0.583333333,0.411764706,1.0,0,0,0,0.665769403,0.501690331,0.989333333
,,,,,,no,8,Late,no,MistralLite-7B,BM25,0.658569501,0.49694501,0.976,0.483506414,0.319346379,0.994971716,0.018518519,0.387330754,0.496666667,0.018666667,0.012,0.419642857,0.01754386,0.018518519,0.500666667,0.662795891,0.498321021,0.989333333,0,0,0,0.583333333,0.411764706,1.0,0,0,0,0.666963095,0.500333556,1.0
